Year,Trial,MOA,State,tResponse_ratio,Rep,n,Treat,combinedMOA,Group,numberofgroup
2006,13,P07,Washington,-2.525728644,3,4,Non-treated,21Non-treatedP07,24,3
2006,13,P07,Washington,-1.280933845,4,4,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-1.558144618,1,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-1.686398954,2,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-2.302585093,3,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-0.693147181,4,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-1.335001067,1,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-1.504077397,2,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-2.525728644,3,8,Non-treated,21Non-treatedP07,24,3
2006,13,21,Washington,-1.504077397,4,8,Non-treated,21Non-treatedP07,24,3
2007,14,Non-treated,Washington,0,1,4,Treated,11214043Non-treatedP07,31,6
2007,14,Non-treated,Washington,0,2,4,Treated,11214043Non-treatedP07,31,6
2007,14,Non-treated,Washington,0,3,4,Treated,11214043Non-treatedP07,31,6
2007,14,Non-treated,Washington,0,4,4,Treated,11214043Non-treatedP07,31,6
2007,14,P07,Washington,-0.223143551,1,4,Treated,11214043Non-treatedP07,31,6
2007,14,P07,Washington,-0.61903767,2,4,Treated,11214043Non-treatedP07,31,6
2007,14,P07,Washington,-0.405465108,3,4,Treated,11214043Non-treatedP07,31,6
2007,14,P07,Washington,-0.875468737,4,4,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,0.182321557,1,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.367718797,2,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.154146235,3,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.875468737,4,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,0.336472237,1,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.367718797,2,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.405465108,3,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.538996501,4,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.223143551,1,16,Non-treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.61903767,2,16,Non-treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.405465108,3,16,Non-treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.875468737,4,16,Non-treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,0,1,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.61903767,2,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-0.405465108,3,16,Treated,11214043Non-treatedP07,31,6
2007,14,43,Washington,-1.098612289,4,16,Treated,11214043Non-treatedP07,31,6
2007,14,40,Washington,0.028175321,1,4,Treated,11214043Non-treatedP07,31,6
2007,14,40,Washington,-0.61903767,2,4,Treated,11214043Non-treatedP07,31,6
2007,14,40,Washington,-0.405465108,3,4,Treated,11214043Non-treatedP07,31,6
2007,14,40,Washington,-1.098612289,4,4,Treated,11214043Non-treatedP07,31,6
2007,14,21,Washington,-0.223143551,1,4,Treated,11214043Non-treatedP07,31,6
2007,14,21,Washington,-0.61903767,2,4,Treated,11214043Non-treatedP07,31,6
2007,14,21,Washington,-0.154146235,3,4,Treated,11214043Non-treatedP07,31,6
2007,14,21,Washington,-0.875468737,4,4,Treated,11214043Non-treatedP07,31,6
2007,14,11,Washington,0.336472237,1,4,Treated,11214043Non-treatedP07,31,6
2007,14,11,Washington,-0.61903767,2,4,Treated,11214043Non-treatedP07,31,6
2007,14,11,Washington,-0.405465108,3,4,Treated,11214043Non-treatedP07,31,6
2007,14,11,Washington,-0.693147181,4,4,Treated,11214043Non-treatedP07,31,6
2007,15,Non-treated,Oregon,0,1,3,Treated,Non-treated,1,1
2007,15,Non-treated,Oregon,0,2,3,Treated,Non-treated,1,1
2007,15,Non-treated,Oregon,0,3,3,Treated,Non-treated,1,1
2008,16,Non-treated,Oregon,0,2,3,Treated,Non-treated,1,1
2008,16,Non-treated,Oregon,0,3,3,Non-treated,Non-treated,1,1
2008,17,Non-treated,Washington,0,1,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,Non-treated,Washington,0,2,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,Non-treated,Washington,0,3,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,Non-treated,Washington,0,4,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,P07,Washington,-1.170064356,1,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,P07,Washington,-1.358100627,2,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,P07,Washington,-1.223775432,3,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,P07,Washington,-0.355991947,4,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.969411843,1,12,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.157448113,2,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.223775432,3,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.015270681,4,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.170064356,1,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.157448113,2,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.376534716,3,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.778894535,4,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,21,Washington,-0.802370346,1,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,21,Washington,-1.134957075,2,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,21,Washington,-0.856081421,3,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,21,Washington,-0.355991947,4,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,11,Washington,-1.170064356,1,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,11,Washington,-0.72215892,2,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,11,Washington,-1.223775432,3,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,11,Washington,-0.778894535,4,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,11_7,Washington,0.129200446,1,4,Non-treated,11214011_7Non-treatedP07,32,6
2008,17,11_7,Washington,-1.157448113,2,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,11_7,Washington,-1.023122918,3,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,11_7,Washington,-0.514455392,4,4,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.231855589,1,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.610938858,2,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-1.223775432,3,12,Treated,11214011_7Non-treatedP07,32,6
2008,17,40,Washington,-0.226791501,4,12,Treated,11214011_7Non-treatedP07,32,6
2009,18,Non-treated,Washington,0,1,4,Treated,212240Non-treatedP07,27,5
2009,18,Non-treated,Washington,0,2,4,Treated,212240Non-treatedP07,27,5
2009,18,Non-treated,Washington,0,3,4,Treated,212240Non-treatedP07,27,5
2009,18,Non-treated,Washington,0,4,4,Treated,212240Non-treatedP07,27,5
2009,18,P07,Washington,-0.847240716,1,4,Treated,212240Non-treatedP07,27,5
2009,18,P07,Washington,-1.183801935,2,4,Treated,212240Non-treatedP07,27,5
2009,18,P07,Washington,-1.741097554,3,4,Treated,212240Non-treatedP07,27,5
2009,18,P07,Washington,-1.228731275,4,4,Treated,212240Non-treatedP07,27,5
2009,18,40,Washington,-0.847240716,1,4,Treated,212240Non-treatedP07,27,5
2009,18,40,Washington,-1.694587557,2,4,Treated,212240Non-treatedP07,27,5
2009,18,40,Washington,-1.778868652,3,4,Treated,212240Non-treatedP07,27,5
2009,18,40,Washington,-1.148619332,4,4,Treated,212240Non-treatedP07,27,5
2009,18,21,Washington,-0.646588202,1,4,Treated,212240Non-treatedP07,27,5
2009,18,21,Washington,-1.183801935,2,4,Treated,212240Non-treatedP07,27,5
2009,18,21,Washington,-1.63577704,3,4,Treated,212240Non-treatedP07,27,5
2009,18,21,Washington,-1.516313342,4,4,Treated,212240Non-treatedP07,27,5
2009,18,22,Washington,-0.847240716,1,4,Treated,212240Non-treatedP07,27,5
2009,18,22,Washington,-1.058645851,2,4,Treated,212240Non-treatedP07,27,5
